"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"40000001","Tom Easterling","SCS2","Director of the Chair and Chief Executive’s Office","To provide an effective and effective leadership support service to the Chairman, Non-Executive Directors and the Chief Executive  of NHS England to ensure that they are able to fulfill their governance, system and organisational leadership requirements.","Department of Health","NHS England","Office of the Chair and Chief Executive","0300 311 22 33","england.contactus@nhs.net","40000002","N/D","1.00","120000","124999","","Other","The team is too small to detail. The salary cost of direct reports has been included under Simon Stevens","1"
"40000002","Simon Stevens","SCS4","Chief Executive","The Chief Executive is the Accounting Officer of NHS England, responsible to Parliament and the NHS England Board for the delivery of the NHS England Business Plan and providing leadership to NHS England to create the culture and conditions for health and care services and staff to deliver the highest standard of care and ensure that valuable public resources are used effectively to get the best outcomes for individuals, communities and society for now and for future generations.  NHS England also exists to provide system leadership to the NHS in partnership with other national NHS system leadership bodies and the Department of Health, ensuring the NHS Five Year Forward View can be delivered.","Department of Health","NHS England","Office of the Chair and Chief Executive","0300 311 22 33","england.contactus@nhs.net","XX","426086","1.00","190000","194999","","Other","Simon Stevens takes a voluntary 10% pay cut. Salary cost of direct reports also includes cost of direct reports from Matthew Swindells and Tom Easterling","1"
"40000009","Matthew Swindells","SCS3","National Director: Operations and Information","The core purpose of the Operations and Information Directorate is to be NHS England in the NHS at local, regional and national level working closely with NHS Improvement and other national bodies and supporting and assuring the work of the commissioning system across the NHS.  The Directorate also leads upon the work to transform the NHS through the use of information, transparency and digitally enhanced services, in parrtnership with NHS Digital and other system leaders.","Department of Health","NHS England","Operations and Information","0300 311 22 33","england.contactus@nhs.net","40000002","N/D","1.00","200000","204999","","Operational Delivery","The team is too small to detail. The salary cost of direct reports has been included under Simon Stevens","1"
"40000245","Dr David Black","SCS2","Deputy Clinical Director: Specialised Commissioning","The core role and purpose of Specialised Commissioning is to lead the national policy, delivery, assurance and commissioning arrangements in respect of a series of specialised services, in collaboration with NHS England regional specialised commissioning teams.","Department of Health","NHS England","Specialised Commissioning","0300 311 22 33","england.contactus@nhs.net","40000251","0","0.40","60000","64999","","Medicine","David Black also works 0.6 WTE as Medical Director (Yorkshire and Humber), a post he shares with Paul Twomey","1"
"40000246","Catherine Edwards","SCS2","Director of Operations (Specialised Commisioning)","The core role and purpose of Specialised Commissioning is to lead the national policy, delivery, assurance and commissioning arrangements in respect of a series of specialised services, in collaboration with NHS England regional specialised commissioning teams.","Department of Health","NHS England","Specialised Commissioning","0300 311 22 33","england.contactus@nhs.net","40000011","N/D","1.00","120000","124999","","Operational Delivery","The team is too small to detail. The salary cost of direct reports has been included under Jonathan Fielden","1"
"40000247","Teresa Fenech","SCS2","Director of Nursing and Quality Assurance (Specialised Commissioning)","The core role and purpose of Specialised Commissioning is to lead the national policy, delivery, assurance and commissioning arrangements in respect of a series of specialised services, in collaboration with NHS England regional specialised commissioning teams.","Department of Health","NHS England","Specialised Commissioning","0300 311 22 33","england.contactus@nhs.net","40000251","N/D","1.00","110000","114999","","Medicine","The team is too small to detail. The salary cost of direct reports has been included under James Palmer","1"
"40000011","Dr Jonathan Fielden","SCS2","Director: Specialised Commissioning","The core role and purpose of Specialised Commissioning is to lead the national policy, delivery, assurance and commissioning arrangements in respect of a series of specialised services, in collaboration with NHS England regional specialised commissioning teams.","Department of Health","NHS England","Specialised Commissioning","0300 311 22 33","england.contactus@nhs.net","40000002","1227026","1.00","220000","224999","","Operational Delivery","Salary cost of direct reports also includes cost of direct reports from Andrew Leary, Catherine Edwards, James Palmer, Peter Huskinson and Teresa Fenech","1"
"40000007","Chris Garrett","SCS2","Head of Performance","The core purpose of the Operations and Information Directorate is to be NHS England in the NHS at local, regional and national level working closely with NHS Improvement and other national bodies and supporting and assuring the work of the commissioning system across the NHS.  The Directorate also leads upon the work to transform the NHS through the use of information, transparency and digitally enhanced services, in parrtnership with NHS Digital and other system leaders.","Department of Health","NHS England","Operations and Information","0300 311 22 33","england.contactus@nhs.net","40000016","N/D","1.00","115000","119999","","Operational Delivery","The team is too small to detail. The salary cost of direct reports has been included under Timothy Young","1"
"40000012","Keziah Halliday","SCS2","Head of Planning and Assessment","The core purpose of the Operations and Information Directorate is to be NHS England in the NHS at local, regional and national level working closely with NHS Improvement and other national bodies and supporting and assuring the work of the commissioning system across the NHS.  The Directorate also leads upon the work to transform the NHS through the use of information, transparency and digitally enhanced services, in parrtnership with NHS Digital and other system leaders.","Department of Health","NHS England","Operations and Information","0300 311 22 33","england.contactus@nhs.net","40000016","N/D","1.00","110000","114999","","Operational Delivery","The team is too small to detail. The salary cost of direct reports has been included under Timothy Young","1"
"40000248","Peter Huskinson","SCS2","Commercial Director (Specialised Commissioning)","The core role and purpose of Specialised Commissioning is to lead the national policy, delivery, assurance and commissioning arrangements in respect of a series of specialised services, in collaboration with NHS England regional specialised commissioning teams.","Department of Health","NHS England","Specialised Commissioning","0300 311 22 33","england.contactus@nhs.net","40000011","N/D","1.00","120000","124999","","Operational Delivery","The team is too small to detail. The salary cost of direct reports has been included under Jonathan Fielden","1"
"40000261","Anthony Kealy","SCS2","Head of Integration Delivery","The core purpose of the Operations and Information Directorate is to be NHS England in the NHS at local, regional and national level working closely with NHS Improvement and other national bodies and supporting and assuring the work of the commissioning system across the NHS.  The Directorate also leads upon the work to transform the NHS through the use of information, transparency and digitally enhanced services, in parrtnership with NHS Digital and other system leaders.","Department of Health","NHS England","Operations and Information","0300 311 22 33","england.contactus@nhs.net","40000016","N/D","1.00","115000","119999","","Operational Delivery","The team is too small to detail. The salary cost of direct reports has been included under Timothy Young","1"
"40000249","Andrew Leary","SCS2","Director of Finance (Specialised Commissioning)","The core role and purpose of Specialised Commissioning is to lead the national policy, delivery, assurance and commissioning arrangements in respect of a series of specialised services, in collaboration with NHS England regional specialised commissioning teams.","Department of Health","NHS England","Specialised Commissioning","0300 311 22 33","england.contactus@nhs.net","40000011","N/D","1.00","125000","129999","","Finance","The team is too small to detail. The salary cost of direct reports has been included under Jonathan Fielden","1"
"40000251","James Palmer","SCS2","Clinical Director: Specialised Commissioning","The core role and purpose of Specialised Commissioning is to lead the national policy, delivery, assurance and commissioning arrangements in respect of a series of specialised services, in collaboration with NHS England regional specialised commissioning teams.","Department of Health","NHS England","Specialised Commissioning","0300 311 22 33","england.contactus@nhs.net","40000011","N/D","0.70","95000","99999","","Medicine","The team is too small to detail. The salary cost of direct reports has been included under Jonathan Fielden","1"
"40000075","John Stewart","SCS2","Director of Policy and Strategy (Specialised Commissioning)","The core role and purpose of Specialised Commissioning is to lead the national policy, delivery, assurance and commissioning arrangements in respect of a series of specialised services, in collaboration with NHS England regional specialised commissioning teams.","Department of Health","NHS England","Specialised Commissioning","0300 311 22 33","england.contactus@nhs.net","40000011","0","1.00","130000","134999","","Policy","","1"
"40000016","Timothy Young","SCS2","Acting Director of NHS Operations and Delivery","The core purpose of the Operations and Information Directorate is to be NHS England in the NHS at local, regional and national level working closely with NHS Improvement and other national bodies and supporting and assuring the work of the commissioning system across the NHS.  The Directorate also leads upon the work to transform the NHS through the use of information, transparency and digitally enhanced services, in parrtnership with NHS Digital and other system leaders.","Department of Health","NHS England","Operations and Information","0300 311 22 33","england.contactus@nhs.net","40000009","839679","1.00","130000","134999","","Operational Delivery","Salary cost of direct reports also includes cost of direct reports from Anthony Kealy, Chris Garrett and Keziah Halliday","1"
"40000020","Timothy Young","SCS2","Head of NHS Operations","The core purpose of the Operations and Information Directorate is to be NHS England in the NHS at local, regional and national level working closely with NHS Improvement and other national bodies and supporting and assuring the work of the commissioning system across the NHS.  The Directorate also leads upon the work to transform the NHS through the use of information, transparency and digitally enhanced services, in parrtnership with NHS Digital and other system leaders.","Department of Health","NHS England","Operations and Information","0300 311 22 33","england.contactus@nhs.net","40000009","0","1.00","0","0","","Operational Delivery","Timothy Young is currently covering both this his substnative post and acting up as Director of NHS Operations and Delivery. Cost are shown under his role as Acting Director of NHS Operations and Delivery","1"
